,number,value,datetime_start,datetime_complete,duration,params_activation,params_hidden_initializer,params_lr,params_n_layers,params_neurons,params_optimizer,params_output_initializer,state
0,0,0.6840303301811218,2023-05-18 17:10:25.466322,2023-05-18 17:10:34.447032,0 days 00:00:08.980710,elu,0,4.930344297264314e-05,6,512,0,1,COMPLETE
1,1,0.6731805205345154,2023-05-18 17:10:34.448026,2023-05-18 17:10:41.537579,0 days 00:00:07.089553,tanh,1,0.00027220751532289694,2,64,2,1,COMPLETE
2,2,0.7261224865913392,2023-05-18 17:10:41.538419,2023-05-18 17:10:50.187751,0 days 00:00:08.649332,tanh,1,0.019870103497656118,6,512,2,1,COMPLETE
3,3,0.7150400042533874,2023-05-18 17:10:50.188822,2023-05-18 17:10:57.366780,0 days 00:00:07.177958,elu,0,0.00010527422461132927,2,512,3,1,COMPLETE
4,4,0.685017192363739,2023-05-18 17:10:57.368103,2023-05-18 17:11:04.330528,0 days 00:00:06.962425,sigmoid,0,0.08624828994033674,2,256,1,0,COMPLETE
5,5,0.7037627220153808,2023-05-18 17:11:04.331400,2023-05-18 17:11:15.157197,0 days 00:00:10.825797,selu,0,1.155264153128873e-05,8,512,0,0,COMPLETE
6,6,0.8759756684303284,2023-05-18 17:11:15.158069,2023-05-18 17:11:24.232821,0 days 00:00:09.074752,tanh,0,0.0015284667079214869,9,64,2,1,COMPLETE
7,7,0.7933029174804688,2023-05-18 17:11:24.233755,2023-05-18 17:11:31.514821,0 days 00:00:07.281066,selu,1,0.006201746287931918,6,128,3,0,COMPLETE
8,8,857019663.0,2023-05-18 17:11:31.515980,2023-05-18 17:11:39.781504,0 days 00:00:08.265524,linear,0,0.055934765076972016,6,512,0,0,COMPLETE
9,9,0.6975216865539551,2023-05-18 17:11:39.782360,2023-05-18 17:11:48.107541,0 days 00:00:08.325181,tanh,0,0.019813231399488134,7,512,3,1,COMPLETE
10,10,0.7149428009986878,2023-05-18 17:11:48.108412,2023-05-18 17:11:58.165076,0 days 00:00:10.056664,gelu,1,0.0005711700031763442,4,64,2,1,COMPLETE
11,11,0.6996702313423157,2023-05-18 17:11:58.166441,2023-05-18 17:12:05.290460,0 days 00:00:07.124019,elu,1,8.81144873349299e-05,4,64,0,1,COMPLETE
12,12,0.7023486614227294,2023-05-18 17:12:05.291380,2023-05-18 17:12:13.820234,0 days 00:00:08.528854,relu,1,0.00010700093828390303,10,256,1,1,COMPLETE
13,13,0.7595946311950683,2023-05-18 17:12:13.821136,2023-05-18 17:12:20.759799,0 days 00:00:06.938663,elu,1,1.0941550222306725e-05,4,128,0,1,COMPLETE
