,number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_initializer,params_hidden_neurons,params_lr,params_lstm_neurons,params_n_LSTM_layers,params_n_hidden_layers,params_optimizer,params_output_initializer,state
0,0,0.670533049106598,2023-05-18 21:20:39.097022,2023-05-18 22:06:10.272199,0 days 00:45:31.175177,linear,0.49417623801235594,1,64,0.01695771444321296,256,2,3,2,1,COMPLETE
1,1,0.6670981287956238,2023-05-18 22:06:10.273502,2023-05-18 22:51:01.626309,0 days 00:44:51.352807,sigmoid,0.21621159493538838,1,64,7.570135365943148e-05,64,3,6,0,1,COMPLETE
2,2,0.6537769556045532,2023-05-18 22:51:01.627501,2023-05-18 23:37:35.333129,0 days 00:46:33.705628,gelu,0.13671050455914657,0,512,0.0187373503578731,128,3,3,3,0,COMPLETE
3,3,0.9441645264625549,2023-05-18 23:37:35.334517,2023-05-19 00:30:23.808788,0 days 00:52:48.474271,elu,0.3338861827363274,0,128,0.0005983517976632619,512,1,4,2,0,COMPLETE
4,4,0.6670197486877442,2023-05-19 00:30:23.813185,2023-05-19 01:14:57.226391,0 days 00:44:33.413206,sigmoid,0.15218317036119594,1,64,0.0010169961403161706,128,2,5,1,1,COMPLETE
5,5,0.6634084343910217,2023-05-19 01:14:57.228030,2023-05-19 02:03:43.258881,0 days 00:48:46.030851,relu,0.41064965006322796,1,256,0.0004320992594676098,256,3,5,1,1,COMPLETE
6,6,0.6647128105163574,2023-05-19 02:03:43.260079,2023-05-19 02:52:38.279498,0 days 00:48:55.019419,gelu,0.2666778352455429,1,128,0.0002065035425812384,256,3,3,3,0,COMPLETE
7,7,0.9449286580085754,2023-05-19 02:52:38.280623,2023-05-19 03:44:07.613675,0 days 00:51:29.333052,selu,0.10223204353483939,1,512,0.0007909422118293659,128,1,2,2,1,COMPLETE
8,8,0.6604094266891479,2023-05-19 03:44:07.618295,2023-05-19 04:30:11.604104,0 days 00:46:03.985809,linear,0.40923361894737476,1,512,0.0001685326794816569,128,3,6,1,0,COMPLETE
9,9,0.8137270212173462,2023-05-19 04:30:11.605355,2023-05-19 05:20:26.211928,0 days 00:50:14.606573,relu,0.40182610822943515,0,256,0.00042339758498623843,128,1,6,2,0,COMPLETE
