,number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_dropout_l3,params_dropout_l4,params_dropout_l5,params_dropout_l6,params_lr,params_n_layers,params_neurons_1,params_neurons_2,params_neurons_3,params_neurons_4,params_neurons_5,params_neurons_6,params_neurons_7,params_optimizer,state
0,0,0.043624262539508074,2023-05-23 16:11:54.554343,2023-05-23 16:54:38.789765,0 days 00:42:44.235422,1,16,0.17205776723585076,0.15723521870433876,0.026529894381279506,,,,,0.00325361005081981,3,128,512,128.0,,,,,Adadelta,COMPLETE
1,1,0.021435297293394644,2023-05-23 16:54:38.791002,2023-05-23 17:35:50.558223,0 days 00:41:11.767221,1,32,0.27456514051453973,0.03277562688803931,0.06613578626212613,0.004539703445707033,0.05586229859587982,0.4163611549173737,0.05520459686139828,1.4333691326121801e-05,7,512,128,64.0,64.0,256.0,512.0,128.0,Adam,COMPLETE
2,2,0.02214966740265427,2023-05-23 17:35:50.559466,2023-05-23 18:16:56.579646,0 days 00:41:06.020180,5,32,0.4032362062642665,0.2462614709556727,0.45119614448035117,0.23224759106432896,0.36805281301004633,,,5.3080988746282535e-05,5,256,512,64.0,64.0,512.0,,,NAdam,COMPLETE
3,3,0.04328857649475671,2023-05-23 18:16:56.580957,2023-05-23 18:59:38.501692,0 days 00:42:41.920735,3,16,0.4763547991887225,0.047271803504524035,0.3106563552926742,0.06039560881486855,0.2791503502589692,,,0.07113104658018687,5,64,512,256.0,512.0,256.0,,,RMSprop,COMPLETE
4,4,0.021537008139447096,2023-05-23 18:59:38.503024,2023-05-23 19:40:55.863806,0 days 00:41:17.360782,5,32,0.13532629420303188,0.2905563395249441,0.4734606571776838,0.25783583053209497,0.1552745626510008,0.07268015261240213,0.11284644091837642,0.0033775810113717253,7,512,256,512.0,512.0,64.0,128.0,512.0,RMSprop,COMPLETE
5,5,0.02217898485259696,2023-05-23 19:40:55.865263,2023-05-23 20:22:21.335921,0 days 00:41:25.470658,0,32,0.4106566405650987,0.4446070330360524,0.01292280148233782,0.29030402496693763,0.04499974130795498,0.21835714429881153,0.2580451879172292,5.185793343536117e-05,7,64,256,128.0,128.0,512.0,64.0,512.0,Adadelta,COMPLETE
6,6,0.021081108562547114,2023-05-23 20:22:21.337277,2023-05-23 21:03:38.447850,0 days 00:41:17.110573,5,32,0.08093430817150354,0.4471895526862238,,,,,,0.00406387412010645,2,512,256,,,,,,Adadelta,COMPLETE
7,7,0.02333410731655811,2023-05-23 21:03:38.449070,2023-05-23 21:44:57.976587,0 days 00:41:19.527517,0,32,0.3996189767620462,0.21849762055830718,0.4256701250717028,0.18194436358122118,0.00038430337085226807,,,1.6017001464354526e-05,5,512,64,512.0,128.0,256.0,,,Adam,COMPLETE
8,8,0.02320719314818242,2023-05-23 21:44:57.977836,2023-05-23 22:26:17.964518,0 days 00:41:19.986682,4,32,0.46880851270365903,0.4974645104557877,0.05658023022119585,0.3010787786087494,0.4328046442037654,0.4089357802522524,,0.01721195611145142,6,128,512,128.0,64.0,64.0,512.0,,RMSprop,COMPLETE
9,9,0.023246650264905754,2023-05-23 22:26:17.965770,2023-05-23 23:07:35.302474,0 days 00:41:17.336704,5,32,0.24074335561896865,0.39655537152232206,,,,,,0.05282901249687847,2,256,512,,,,,,RMSprop,COMPLETE
