,number,value,datetime_start,datetime_complete,duration,params_activation,params_bottleneck_size,params_dropout_l1,params_dropout_l2,params_dropout_l3,params_dropout_l4,params_dropout_l5,params_lr,params_n_layers,params_optimizer,user_attrs_bottleneck,user_attrs_decoder_dropout1,user_attrs_decoder_dropout2,user_attrs_decoder_dropout3,user_attrs_decoder_dropout4,user_attrs_decoder_dropout5,user_attrs_decoder_final,user_attrs_decoder_layer1,user_attrs_decoder_layer2,user_attrs_decoder_layer3,user_attrs_decoder_layer4,user_attrs_decoder_layer5,user_attrs_encoder_dropout1,user_attrs_encoder_dropout2,user_attrs_encoder_dropout3,user_attrs_encoder_dropout4,user_attrs_encoder_dropout5,user_attrs_encoder_layer1,user_attrs_encoder_layer2,user_attrs_encoder_layer3,user_attrs_encoder_layer4,user_attrs_encoder_layer5,state
0,0,0.35745540261268616,2023-04-04 17:57:17.738590,2023-04-04 17:57:27.764789,0 days 00:00:10.026199,4,121,0.2602063496788528,0.06683740824040213,,,,0.0002298622698459788,2,Adam,"[48, 121]",0.2602063496788528,0.06683740824040213,,,,"[386, 193]","[121, 48]","[48, 386]",,,,0.2602063496788528,0.06683740824040213,,,,"[386, 48]","[193, 386]",,,,COMPLETE
1,1,0.716480553150177,2023-04-04 17:57:27.767087,2023-04-04 17:57:37.964101,0 days 00:00:10.197014,1,59,0.38269616690880354,0.04135272376772586,0.23802946349530507,,,0.0002248805043943191,3,Adagrad,"[48, 59]",0.38269616690880354,0.04135272376772586,0.23802946349530507,,,"[1302, 193]","[59, 48]","[48, 386]","[386, 1302]",,,0.38269616690880354,0.04135272376772586,0.23802946349530507,,,"[386, 48]","[1302, 386]","[193, 1302]",,,COMPLETE
2,2,147935.734375,2023-04-04 17:57:37.965039,2023-04-04 17:58:05.539428,0 days 00:00:27.574389,2,45,0.11280527027359494,0.35772042706224433,0.014645618359303059,0.27163364037490145,,0.06673994702477808,4,Adam,"[48, 45]",0.11280527027359494,0.35772042706224433,0.014645618359303059,0.27163364037490145,,"[3088, 193]","[45, 48]","[48, 386]","[386, 1302]","[1302, 3088]",,0.11280527027359494,0.35772042706224433,0.014645618359303059,0.27163364037490145,,"[386, 48]","[1302, 386]","[3088, 1302]","[193, 3088]",,COMPLETE
3,3,0.9785054326057434,2023-04-04 17:58:05.540651,2023-04-04 17:58:15.430519,0 days 00:00:09.889868,1,58,0.008297097947550292,0.39992018311849076,0.1348633635510969,,,0.0031092450965818155,3,SGD,"[48, 58]",0.008297097947550292,0.39992018311849076,0.1348633635510969,,,"[1302, 193]","[58, 48]","[48, 386]","[386, 1302]",,,0.008297097947550292,0.39992018311849076,0.1348633635510969,,,"[386, 48]","[1302, 386]","[193, 1302]",,,COMPLETE
4,4,0.6480734348297119,2023-04-04 17:58:15.431655,2023-04-04 17:58:24.778548,0 days 00:00:09.346893,0,97,0.28107064633218093,0.3145244726968751,,,,0.07748159051205644,2,Adagrad,"[48, 97]",0.28107064633218093,0.3145244726968751,,,,"[386, 193]","[97, 48]","[48, 386]",,,,0.28107064633218093,0.3145244726968751,,,,"[386, 48]","[193, 386]",,,,COMPLETE
5,5,1.0146088600158691,2023-04-04 17:58:24.779476,2023-04-04 17:58:27.193351,0 days 00:00:02.413875,3,101,0.42650813544486293,0.056865433309929214,0.4918629353757173,0.40546999979733317,0.4647905211843915,0.017838241992991718,5,SGD,"[48, 101]",0.42650813544486293,0.056865433309929214,0.4918629353757173,0.40546999979733317,0.4647905211843915,"[6031, 193]","[101, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",0.42650813544486293,0.056865433309929214,0.4918629353757173,0.40546999979733317,0.4647905211843915,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",PRUNED
6,6,0.5505917072296143,2023-04-04 17:58:27.194156,2023-04-04 17:58:53.269636,0 days 00:00:26.075480,3,77,0.19006959604827917,0.4564959398694052,0.21245470051726556,0.3139489618284134,,3.159067487163534e-05,4,RMSprop,"[48, 77]",0.19006959604827917,0.4564959398694052,0.21245470051726556,0.3139489618284134,,"[3088, 193]","[77, 48]","[48, 386]","[386, 1302]","[1302, 3088]",,0.19006959604827917,0.4564959398694052,0.21245470051726556,0.3139489618284134,,"[386, 48]","[1302, 386]","[3088, 1302]","[193, 3088]",,COMPLETE
7,7,1.0298004150390625,2023-04-04 17:58:53.270854,2023-04-04 17:58:53.449465,0 days 00:00:00.178611,4,95,0.35651263465464905,0.4748742644257036,,,,3.3526551833307826e-05,2,SGD,"[48, 95]",0.35651263465464905,0.4748742644257036,,,,"[386, 193]","[95, 48]","[48, 386]",,,,0.35651263465464905,0.4748742644257036,,,,"[386, 48]","[193, 386]",,,,PRUNED
8,8,1.0398204326629639,2023-04-04 17:58:53.450193,2023-04-04 17:58:55.833517,0 days 00:00:02.383324,3,107,0.08038535271637687,0.22922050131844196,0.10072269960099056,0.051062074865925455,0.3490280239713552,0.004376283841232131,5,SGD,"[48, 107]",0.08038535271637687,0.22922050131844196,0.10072269960099056,0.051062074865925455,0.3490280239713552,"[6031, 193]","[107, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",0.08038535271637687,0.22922050131844196,0.10072269960099056,0.051062074865925455,0.3490280239713552,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",PRUNED
9,9,0.5269615650177002,2023-04-04 17:58:55.834357,2023-04-04 17:59:21.358351,0 days 00:00:25.523994,3,98,0.1360468024455373,0.1539438966647509,0.36726597757258583,0.20013578919937947,,0.00044508614512121396,4,Adagrad,"[48, 98]",0.1360468024455373,0.1539438966647509,0.36726597757258583,0.20013578919937947,,"[3088, 193]","[98, 48]","[48, 386]","[386, 1302]","[1302, 3088]",,0.1360468024455373,0.1539438966647509,0.36726597757258583,0.20013578919937947,,"[386, 48]","[1302, 386]","[3088, 1302]","[193, 3088]",,COMPLETE
