,number,value,datetime_start,datetime_complete,duration,params_activation,params_bottleneck_size,params_dropout_l1,params_dropout_l2,params_dropout_l3,params_dropout_l4,params_dropout_l5,params_dropout_l6,params_lr,params_n_layers,params_optimizer,user_attrs_bottleneck,user_attrs_decoder_dropout1,user_attrs_decoder_dropout2,user_attrs_decoder_dropout3,user_attrs_decoder_dropout4,user_attrs_decoder_dropout5,user_attrs_decoder_dropout6,user_attrs_decoder_final,user_attrs_decoder_layer1,user_attrs_decoder_layer2,user_attrs_decoder_layer3,user_attrs_decoder_layer4,user_attrs_decoder_layer5,user_attrs_decoder_layer6,user_attrs_encoder_dropout1,user_attrs_encoder_dropout2,user_attrs_encoder_dropout3,user_attrs_encoder_dropout4,user_attrs_encoder_dropout5,user_attrs_encoder_dropout6,user_attrs_encoder_layer1,user_attrs_encoder_layer2,user_attrs_encoder_layer3,user_attrs_encoder_layer4,user_attrs_encoder_layer5,user_attrs_encoder_layer6,state
0,0,1.0957143306732178,2023-04-05 15:56:48.729028,2023-04-05 16:03:17.103191,0 days 00:06:28.374163,0,97,0.37309007372224007,0.4193418913222676,0.4633782641890818,0.1182231634405656,0.46264405234298356,0.35754092711857477,0.06967156829096947,6,Adagrad,"[48, 97]",0.37309007372224007,0.4193418913222676,0.4633782641890818,0.1182231634405656,0.46264405234298356,0.35754092711857477,"[10422, 193]","[97, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]","[6031, 10422]",0.37309007372224007,0.4193418913222676,0.4633782641890818,0.1182231634405656,0.46264405234298356,0.35754092711857477,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[10422, 6031]","[193, 10422]",COMPLETE
1,1,0.9691053628921509,2023-04-05 16:03:17.104349,2023-04-05 16:03:42.618581,0 days 00:00:25.514232,3,91,0.3580277161312986,0.358581778754003,0.26858263135148497,0.2578529381334959,,,1.3006038237141123e-05,4,Adagrad,"[48, 91]",0.3580277161312986,0.358581778754003,0.26858263135148497,0.2578529381334959,,,"[3088, 193]","[91, 48]","[48, 386]","[386, 1302]","[1302, 3088]",,,0.3580277161312986,0.358581778754003,0.26858263135148497,0.2578529381334959,,,"[386, 48]","[1302, 386]","[3088, 1302]","[193, 3088]",,,COMPLETE
2,2,1.2429169416427612,2023-04-05 16:03:42.619693,2023-04-05 16:05:31.952431,0 days 00:01:49.332738,1,119,0.4640289124534238,0.08271790236441295,0.4572145107889207,0.002014759049046355,0.15398637034167695,,0.0020801632769340346,5,RMSprop,"[48, 119]",0.4640289124534238,0.08271790236441295,0.4572145107889207,0.002014759049046355,0.15398637034167695,,"[6031, 193]","[119, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",,0.4640289124534238,0.08271790236441295,0.4572145107889207,0.002014759049046355,0.15398637034167695,,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",,COMPLETE
3,3,0.7854483127593994,2023-04-05 16:05:31.953757,2023-04-05 16:05:56.413413,0 days 00:00:24.459656,2,33,0.47715789408853726,0.4144507510323076,0.004462766373966587,0.055156341678636145,,,0.005234445295747251,4,SGD,"[48, 33]",0.47715789408853726,0.4144507510323076,0.004462766373966587,0.055156341678636145,,,"[3088, 193]","[33, 48]","[48, 386]","[386, 1302]","[1302, 3088]",,,0.47715789408853726,0.4144507510323076,0.004462766373966587,0.055156341678636145,,,"[386, 48]","[1302, 386]","[3088, 1302]","[193, 3088]",,,COMPLETE
4,4,4.528539657592773,2023-04-05 16:05:56.414717,2023-04-05 16:07:45.664597,0 days 00:01:49.249880,2,45,0.15575866200573807,0.27050474151497605,0.08040829035459707,0.4731165855986731,0.10322297983327261,,0.0009916541700226305,5,RMSprop,"[48, 45]",0.15575866200573807,0.27050474151497605,0.08040829035459707,0.4731165855986731,0.10322297983327261,,"[6031, 193]","[45, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",,0.15575866200573807,0.27050474151497605,0.08040829035459707,0.4731165855986731,0.10322297983327261,,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",,COMPLETE
5,5,5.35137939453125,2023-04-05 16:07:45.665695,2023-04-05 16:07:46.539635,0 days 00:00:00.873940,5,89,0.4818350774199499,0.3742008669869093,0.1335826371042984,,,,0.05099098643133016,3,Adam,"[48, 89]",0.4818350774199499,0.3742008669869093,0.1335826371042984,,,,"[1302, 193]","[89, 48]","[48, 386]","[386, 1302]",,,,0.4818350774199499,0.3742008669869093,0.1335826371042984,,,,"[386, 48]","[1302, 386]","[193, 1302]",,,,PRUNED
6,6,0.44907957315444946,2023-04-05 16:07:46.540312,2023-04-05 16:07:56.818053,0 days 00:00:10.277741,0,105,0.20263690110430166,0.08481952164124751,0.14099814726044668,,,,0.003386174158581941,3,Adagrad,"[48, 105]",0.20263690110430166,0.08481952164124751,0.14099814726044668,,,,"[1302, 193]","[105, 48]","[48, 386]","[386, 1302]",,,,0.20263690110430166,0.08481952164124751,0.14099814726044668,,,,"[386, 48]","[1302, 386]","[193, 1302]",,,,COMPLETE
7,7,1.0415455102920532,2023-04-05 16:07:56.819220,2023-04-05 16:08:21.344539,0 days 00:00:24.525319,2,102,0.01339788561643529,0.4271094440148714,0.28945874494092466,0.21693895678782665,,,0.0011817878605262222,4,SGD,"[48, 102]",0.01339788561643529,0.4271094440148714,0.28945874494092466,0.21693895678782665,,,"[3088, 193]","[102, 48]","[48, 386]","[386, 1302]","[1302, 3088]",,,0.01339788561643529,0.4271094440148714,0.28945874494092466,0.21693895678782665,,,"[386, 48]","[1302, 386]","[3088, 1302]","[193, 3088]",,,COMPLETE
8,8,1.0165255069732666,2023-04-05 16:08:21.345582,2023-04-05 16:08:31.119823,0 days 00:00:09.774241,5,72,0.03974413887175893,0.36548047328995314,0.19013433959986914,,,,0.000737068246228958,3,SGD,"[48, 72]",0.03974413887175893,0.36548047328995314,0.19013433959986914,,,,"[1302, 193]","[72, 48]","[48, 386]","[386, 1302]",,,,0.03974413887175893,0.36548047328995314,0.19013433959986914,,,,"[386, 48]","[1302, 386]","[193, 1302]",,,,COMPLETE
9,9,0.6774411797523499,2023-04-05 16:08:31.121038,2023-04-05 16:08:41.391426,0 days 00:00:10.270388,0,70,0.3352359345340726,0.18462480236918738,0.15534029349912565,,,,0.047143429230832874,3,Adagrad,"[48, 70]",0.3352359345340726,0.18462480236918738,0.15534029349912565,,,,"[1302, 193]","[70, 48]","[48, 386]","[386, 1302]",,,,0.3352359345340726,0.18462480236918738,0.15534029349912565,,,,"[386, 48]","[1302, 386]","[193, 1302]",,,,COMPLETE
10,10,0.38413405418395996,2023-04-05 16:08:41.392710,2023-04-05 16:08:51.181702,0 days 00:00:09.788992,4,121,0.21098802128896202,0.009159409322333764,,,,,8.942529838031485e-05,2,Adam,"[48, 121]",0.21098802128896202,0.009159409322333764,,,,,"[386, 193]","[121, 48]","[48, 386]",,,,,0.21098802128896202,0.009159409322333764,,,,,"[386, 48]","[193, 386]",,,,,COMPLETE
11,11,1.0166319608688354,2023-04-05 16:08:51.182672,2023-04-05 16:08:51.398639,0 days 00:00:00.215967,4,124,0.2088341674936242,0.0007972990701966484,,,,,0.00011760035114504102,2,Adam,"[48, 124]",0.2088341674936242,0.0007972990701966484,,,,,"[386, 193]","[124, 48]","[48, 386]",,,,,0.2088341674936242,0.0007972990701966484,,,,,"[386, 48]","[193, 386]",,,,,PRUNED
12,12,1.011648178100586,2023-04-05 16:08:51.399333,2023-04-05 16:08:51.615065,0 days 00:00:00.215732,4,112,0.15032964263529638,0.005367092703213467,,,,,7.97028319447752e-05,2,Adam,"[48, 112]",0.15032964263529638,0.005367092703213467,,,,,"[386, 193]","[112, 48]","[48, 386]",,,,,0.15032964263529638,0.005367092703213467,,,,,"[386, 48]","[193, 386]",,,,,PRUNED
13,13,0.40959739685058594,2023-04-05 16:08:51.615751,2023-04-05 16:09:01.461617,0 days 00:00:09.845866,0,110,0.23919375253823094,0.11337252223553042,,,,,0.01066155181128792,2,Adam,"[48, 110]",0.23919375253823094,0.11337252223553042,,,,,"[386, 193]","[110, 48]","[48, 386]",,,,,0.23919375253823094,0.11337252223553042,,,,,"[386, 48]","[193, 386]",,,,,COMPLETE
14,14,0.38350746035575867,2023-04-05 16:09:01.462822,2023-04-05 16:09:11.278768,0 days 00:00:09.815946,4,125,0.2691090854399939,0.1341505720475853,,,,,0.012385802893287234,2,Adam,"[48, 125]",0.2691090854399939,0.1341505720475853,,,,,"[386, 193]","[125, 48]","[48, 386]",,,,,0.2691090854399939,0.1341505720475853,,,,,"[386, 48]","[193, 386]",,,,,COMPLETE
15,15,0.6109293699264526,2023-04-05 16:09:11.279975,2023-04-05 16:09:21.077304,0 days 00:00:09.797329,4,124,0.27472784012050383,0.16138333162306243,,,,,0.01806985196376232,2,Adam,"[48, 124]",0.27472784012050383,0.16138333162306243,,,,,"[386, 193]","[124, 48]","[48, 386]",,,,,0.27472784012050383,0.16138333162306243,,,,,"[386, 48]","[193, 386]",,,,,COMPLETE
16,16,0.43041571974754333,2023-04-05 16:09:21.078511,2023-04-05 16:09:30.865646,0 days 00:00:09.787135,4,128,0.2928296367392195,0.49106159548161094,,,,,0.00029192743201428956,2,Adam,"[48, 128]",0.2928296367392195,0.49106159548161094,,,,,"[386, 193]","[128, 48]","[48, 386]",,,,,0.2928296367392195,0.49106159548161094,,,,,"[386, 48]","[193, 386]",,,,,COMPLETE
17,17,0.9899284839630127,2023-04-05 16:09:30.866617,2023-04-05 16:09:31.111750,0 days 00:00:00.245133,4,57,0.1031177175253819,0.04910223860533834,0.36132490995736,,,,0.009962983432797848,3,Adam,"[48, 57]",0.1031177175253819,0.04910223860533834,0.36132490995736,,,,"[1302, 193]","[57, 48]","[48, 386]","[386, 1302]",,,,0.1031177175253819,0.04910223860533834,0.36132490995736,,,,"[386, 48]","[1302, 386]","[193, 1302]",,,,PRUNED
18,18,1.029058814048767,2023-04-05 16:09:31.112464,2023-04-05 16:09:33.729259,0 days 00:00:02.616795,3,81,0.2876394393543168,0.13941334606757944,0.3503831302962737,0.43860649411711233,0.3356033265644507,,2.3328162041984242e-05,5,Adam,"[48, 81]",0.2876394393543168,0.13941334606757944,0.3503831302962737,0.43860649411711233,0.3356033265644507,,"[6031, 193]","[81, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",,0.2876394393543168,0.13941334606757944,0.3503831302962737,0.43860649411711233,0.3356033265644507,,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",,PRUNED
19,19,0.430255651473999,2023-04-05 16:09:33.730121,2023-04-05 16:09:43.160904,0 days 00:00:09.430783,1,116,0.23224105530098,0.18117797063615346,,,,,0.0003806569628828249,2,RMSprop,"[48, 116]",0.23224105530098,0.18117797063615346,,,,,"[386, 193]","[116, 48]","[48, 386]",,,,,0.23224105530098,0.18117797063615346,,,,,"[386, 48]","[193, 386]",,,,,COMPLETE
20,20,0.32402509450912476,2023-04-05 16:09:43.162049,2023-04-05 16:16:33.184376,0 days 00:06:50.022327,4,95,0.15569587043853905,0.06063467166788575,0.0013148695893074325,0.3684005297368317,0.007963495795710762,0.023785418423579396,4.52665973295582e-05,6,Adam,"[48, 95]",0.15569587043853905,0.06063467166788575,0.0013148695893074325,0.3684005297368317,0.007963495795710762,0.023785418423579396,"[10422, 193]","[95, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]","[6031, 10422]",0.15569587043853905,0.06063467166788575,0.0013148695893074325,0.3684005297368317,0.007963495795710762,0.023785418423579396,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[10422, 6031]","[193, 10422]",COMPLETE
21,21,0.3112373352050781,2023-04-05 16:16:33.185424,2023-04-05 16:23:23.393066,0 days 00:06:50.207642,4,111,0.17232641330634002,0.03833902972094161,0.022006487628059845,0.3522116318647864,0.05273372696229345,0.0015727155102483563,3.445751469851182e-05,6,Adam,"[48, 111]",0.17232641330634002,0.03833902972094161,0.022006487628059845,0.3522116318647864,0.05273372696229345,0.0015727155102483563,"[10422, 193]","[111, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]","[6031, 10422]",0.17232641330634002,0.03833902972094161,0.022006487628059845,0.3522116318647864,0.05273372696229345,0.0015727155102483563,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[10422, 6031]","[193, 10422]",COMPLETE
22,22,0.3148692846298218,2023-04-05 16:23:23.394301,2023-04-05 16:30:13.208261,0 days 00:06:49.813960,4,96,0.15521780808769794,0.07508733520629171,0.01944738068785755,0.35022114223932693,0.0017147979413712072,0.019532652445786558,3.321057754349804e-05,6,Adam,"[48, 96]",0.15521780808769794,0.07508733520629171,0.01944738068785755,0.35022114223932693,0.0017147979413712072,0.019532652445786558,"[10422, 193]","[96, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]","[6031, 10422]",0.15521780808769794,0.07508733520629171,0.01944738068785755,0.35022114223932693,0.0017147979413712072,0.019532652445786558,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[10422, 6031]","[193, 10422]",COMPLETE
23,23,0.3124808967113495,2023-04-05 16:30:13.209377,2023-04-05 16:37:03.034832,0 days 00:06:49.825455,4,92,0.11531748732327832,0.04743650887276722,0.007295005169915632,0.3609241884436817,0.022847214481674944,0.00458786049578086,3.238090770884237e-05,6,Adam,"[48, 92]",0.11531748732327832,0.04743650887276722,0.007295005169915632,0.3609241884436817,0.022847214481674944,0.00458786049578086,"[10422, 193]","[92, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]","[6031, 10422]",0.11531748732327832,0.04743650887276722,0.007295005169915632,0.3609241884436817,0.022847214481674944,0.00458786049578086,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[10422, 6031]","[193, 10422]",COMPLETE
24,24,0.903118908405304,2023-04-05 16:37:03.036012,2023-04-05 16:37:12.420825,0 days 00:00:09.384813,4,82,0.08556161922072589,0.04158269865331801,0.058231444786364994,0.35115820670530273,0.014368275746733475,0.012934091441726692,1.388293433882887e-05,6,Adam,"[48, 82]",0.08556161922072589,0.04158269865331801,0.058231444786364994,0.35115820670530273,0.014368275746733475,0.012934091441726692,"[10422, 193]","[82, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]","[6031, 10422]",0.08556161922072589,0.04158269865331801,0.058231444786364994,0.35115820670530273,0.014368275746733475,0.012934091441726692,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[10422, 6031]","[193, 10422]",PRUNED
